Cheque returned |  | click=false | en=true | [94,615][985,684]
The shop's outstanding comes back exactly as it was. |  | click=false | en=true | [95,716][986,764]
What did the bank say? |  | click=false | en=true | [95,796][986,844]
QA android DOS-034 refer to drawer |  | click=true | en=true | [95,854][986,1020]
Bank charges |  | click=false | en=true | [95,1109][986,1157]
 | — | click=true | en=true | [95,1168][986,1333]
— |  | click=false | en=true | [129,1216][170,1285]
 | Return a bounced cheque | click=true | en=true | [95,1422][986,1588]
Return a bounced cheque |  | click=false | en=true | [300,1475][780,1533]
 | Cancel | click=true | en=true | [95,1619][986,1785]
Cancel |  | click=false | en=true | [476,1672][605,1730]
