Party Code,Party Name,Contact Person,Mobile,GSTIN,PAN,Address 1,Address 2,Area,City,Pincode,State Code,Route,Ledger Name
TE-P001,Shree Ganesh Kirana,Ganesh Patil,9820000101,,,Shop 3 Station Road,,Station Road,Kalyan,421301,27,Station Road,Shree Ganesh Kirana (R-0001)
TE-P002,Om Sai Provision Store,Sai Mhatre,+91 98200 00102,,,Om Sai Building,Near Bus Stand,Station Road,Kalyan,421301,27,Station Road,Om Sai Provision (R-0002)
TE-P003,Mahalaxmi General Stores,Laxman Joshi,0 9820000103,,,Mahalaxmi Chawl,,Kalyan West Market,Kalyan,421301,27,Kalyan West Market,Mahalaxmi General (R-0003)
TE-P004,Sharma Kirana Stores,Ramesh Sharma,919820000104,,AAPFU0939F,12 Market Lane,,Kalyan West Market,Kalyan,421301,Maharashtra,Kalyan West Market,Sharma Kirana (R-0004)
TE-P005,Jai Bhavani Stores,Bhavani Pawar,9820000105,,,Jai Bhavani Complex,,Khadakpada,Kalyan,421301,27,Khadakpada,Jai Bhavani (R-0005)
TE-P006,Shivshakti Traders,Shiv More,9820000106,,,Shivshakti Nagar,,Khadakpada,Kalyan,421301,MH,Khadakpada,Shivshakti (R-0006)
TE-P007,Ganesh General Store,Ganesh Kadam,98765,,,Godrej Hill Road,,Godrej Hill,Kalyan,421301,27,Godrej Hill,Ganesh General (R-0007)
TE-P008,New Kalyan Super Mart,Prakash Yadav,9820000199,,,Plot 9 Birla College Road,,Godrej Hill,Kalyan,421301,27,Godrej Hill,New Kalyan Super Mart
TE-P009,Om Sai Provision Store (branch),Sai Mhatre,9820000102,,,Om Sai Building,,Station Road,Kalyan,421301,27,Station Road,Om Sai Provision (R-0002)
TE-P010,Krishna Kirana Stores,Krishna Naik,9820000107,,,Krishna Nagar,,Godrej Hill,Kalyan,421301,27,Godrej Hill,Krishna Kirana (R-0008)
,,,,,,,,,,,,,
